Flavour, Time since last tick, Framerate, Boids on screen
CPUseq, 124329, 81.4206271016699, 1956
CPUseq, 127206, 79.5469008527428, 1956
CPUseq, 158692, 63.7860869787082, 1956
CPUseq, 140438, 72.2595563263242, 1956
CPUseq, 134925, 74.9658905198135, 1956
CPUseq, 143392, 70.6728764567447, 1956
CPUseq, 141790, 71.3668900450325, 1956
CPUseq, 134730, 75.7822624036618, 1958
CPUseq, 128331, 79.3663391482405, 1959
CPUseq, 139213, 73.0380162874776, 1961
CPUseq, 123704, 82.8569061231254, 1962
CPUseq, 141749, 71.6789357111626, 1965
CPUseq, 130324, 78.10181352411, 1967
CPUseq, 123715, 82.2848867348534, 1969
CPUseq, 122554, 83.1303567123607, 1971
CPUseq, 124917, 81.4670587947763, 1975
CPUseq, 131914, 77.1170559792709, 1977
CPUseq, 141133, 71.9926855431488, 1979
CPUseq, 134536, 75.8035172832019, 1981
CPUseq, 146726, 69.3039115127658, 1984
CPUseq, 124704, 81.6873335620579, 1986
CPUseq, 195818, 51.6691726215388, 1988
CPUseq, 125065, 81.4836543789316, 1989
CPUseq, 125525, 81.9940964250574, 1990
CPUseq, 156203, 64.9375949712326, 1992
CPUseq, 124665, 81.6539830812947, 1994
CPUseq, 124479, 81.8129755379203, 1995
CPUseq, 127462, 79.8658254133057, 1999
CPUseq, 147001, 69.114709683662, 2000
CPUseq, 153495, 66.4654977601127, 2004
CPUseq, 151355, 67.0645831936154, 2006
CPUseq, 149539, 67.9080253704383, 2008
CPUseq, 206615, 49.0511063477037, 2009
CPUseq, 126040, 80.8557775495848, 2011
CPUseq, 128594, 79.1615211677908, 2012
CPUseq, 150261, 67.5899453197342, 2013
CPUseq, 147647, 68.7625491652227, 2015
CPUseq, 138379, 73.4581141832927, 2016
CPUseq, 130887, 77.7411530567821, 2018
CPUseq, 156224, 65.0778982441983, 2020
CPUseq, 147912, 68.7918770551573, 2022
CPUseq, 146628, 69.2794247036573, 2024
CPUseq, 127704, 80.1429750675205, 2026
CPUseq, 149119, 68.2225966884752, 2029
CPUseq, 129038, 79.0720108803087, 2030
CPUseq, 136705, 74.8043865292261, 2034
CPUseq, 131891, 77.3281575019912, 2036
CPUseq, 129079, 78.8525378689313, 2037
CPUseq, 138904, 73.6078907658901, 2040
CPUseq, 128862, 78.9727228215374, 2047
CPUseq, 143352, 71.0716900137168, 2048
CPUseq, 134482, 75.6115080715285, 2052
CPUseq, 134092, 76.3003486925935, 2054
CPUseq, 146711, 69.6054069480117, 2057
CPUseq, 158088, 65.088487799163, 2059
CPUseq, 134511, 75.6561277680686, 2062
CPUseq, 134103, 76.7559850479341, 2063
CPUseq, 132637, 76.6588985649454, 2066
CPUseq, 145714, 70.0437072733386, 2067
CPUseq, 139239, 73.1154492944359, 2069
CPUseq, 135759, 74.9097337708062, 2070
CPUseq, 131309, 77.4815400230895, 2073
CPUseq, 132486, 76.7919399179862, 2075
CPUseq, 140236, 72.879391894354, 2081
CPUseq, 137443, 73.9913134198045, 2082
CPUseq, 150619, 67.3995241593594, 2085
CPUseq, 131199, 77.5332035944393, 2087
CPUseq, 132819, 76.5644021468658, 2090
CPUseq, 135847, 74.8525404952244, 2091
CPUseq, 141386, 72.261122793326, 2092
CPUseq, 142580, 71.0747208540339, 2092
CPUseq, 151653, 66.9406771718903, 2094
CPUseq, 149015, 67.9186334770944, 2094
CPUseq, 137605, 73.5948895708682, 2094
CPUseq, 151472, 66.9599512531555, 2094
CPUseq, 131178, 77.1319264469949, 2094
CPUseq, 135257, 74.9956877479545, 2094
CPUseq, 152425, 66.2708090340367, 2094
CPUseq, 132150, 76.993555639393, 2095
CPUseq, 154536, 65.6659180752006, 2096
CPUseq, 131482, 77.3694390715667, 2097
CPUseq, 160987, 63.1392852632908, 2099
CPUseq, 164379, 61.6678691901159, 2100
CPUseq, 171351, 59.1338079806987, 2102
CPUseq, 148522, 68.4134911404529, 2104
CPUseq, 154919, 65.5707606863947, 2106
CPUseq, 139910, 72.6775876855096, 2107
CPUseq, 138106, 73.6545161266563, 2108
CPUseq, 148071, 69.0197810692544, 2110
CPUseq, 145797, 70.0358583594801, 2111
CPUseq, 147612, 68.9293887341807, 2113
CPUseq, 134428, 75.6990810131565, 2114
CPUseq, 138975, 73.2853070287938, 2116
CPUseq, 139067, 73.0865929953809, 2118
CPUseq, 153869, 66.2269199184084, 2119
CPUseq, 151127, 67.170896194097, 2121
CPUseq, 139983, 72.612676721102, 2122
CPUseq, 158463, 63.9725685626004, 2123
CPUseq, 160626, 63.5853219642778, 2125
CPUseq, 148153, 68.6120469031953, 2126
CPUseq, 141293, 71.9383057090239, 2128
CPUseq, 142008, 71.5886231360112, 2130
CPUseq, 148239, 68.5156763867573, 2131
CPUseq, 134732, 75.5315533063937, 2133
CPUseq, 137604, 74.3726665575868, 2134
CPUseq, 153286, 66.2343769663331, 2135
CPUseq, 137158, 74.117446505733, 2136
CPUseq, 153692, 66.0449634110903, 2139
CPUseq, 135623, 74.9906261717285, 2140
CPUseq, 178261, 57.0629689862764, 2143
CPUseq, 157709, 64.4383872360443, 2145
CPUseq, 138800, 73.269735203177, 2146
CPUseq, 136498, 74.4973292707456, 2147
CPUseq, 160113, 63.3942552125926, 2149
CPUseq, 136619, 74.4069763981071, 2150
CPUseq, 154640, 65.6577262729392, 2152
CPUseq, 141586, 71.7560867100552, 2153
CPUseq, 148749, 68.2836228558943, 2154
CPUseq, 136075, 74.7339471481526, 2155
CPUseq, 135872, 74.5423102152782, 2155
CPUseq, 140670, 72.4286035040958, 2156
CPUseq, 157547, 64.2743744496507, 2156
CPUseq, 153726, 66.4610803913228, 2157
CPUseq, 163975, 61.5721841500884, 2157
CPUseq, 137914, 73.3030347456385, 2157
CPUseq, 161290, 62.8839853354546, 2158
CPUseq, 146492, 69.5676371352047, 2159
CPUseq, 144933, 70.0883814490072, 2161
CPUseq, 152769, 66.4151745390787, 2163
CPUseq, 156038, 65.054190140387, 2165
CPUseq, 140773, 72.1943471826156, 2166
CPUseq, 211942, 47.8562780258328, 2167
CPUseq, 156130, 65.2835263549596, 2168
